Website,window.onload,document.createElement
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/validate-angular-files.html",1,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/sanitize.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/timers.html",1,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/ngTransclude.html",1,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/readfile.html",1,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-cluster-disconnect-idle-worker.html",1,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/ngShowHideSpec-obfuscated.html",1,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/ShareExample.html",1,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/PushNotificationIOSExample.html",1,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-http-parser-consume.html",1,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/sanitizeUriSpec.html",1,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-http-agent-maxsockets.html",1,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-handle-wrap-isrefed.html",1,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-fs-truncate.html",1,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-dns-setserver-in-callback-of-resolve4.html",1,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-dgram-send-callback-multi-buffer-empty-address.html",1,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-crypto-binary-default.html",1,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/RCTEventEmitter.html",1,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-domain-no-error-handler-abort-on-uncaught-5.html",1,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-errors-systemerror.html",1,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/sessions.html",1,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-fs-readfile.html",1,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/NodePath.test.html",1,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-fs-write-file-sync.html",1,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/ngInitSpec-obfuscated.html",1,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-benchmark-events.html",1,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/TextInputTestModule.html",1,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/openBrowser.html",1,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-crypto-lazy-transform-writable.html",1,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-fs-error-messages.html",1,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-async-hooks-asyncresource-constructor.html",1,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-child-process-uid-gid.html",1,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-child-process-stdin.html",1,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-dgram-send-callback-buffer-length.html",1,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/ViewExample.html",1,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/paths.html",1,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-cluster-net-listen-relative-path.html",1,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-http-client-req-error-dont-double-fire.html",1,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/Touchable.html",1,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/polyfillPromise.html",1,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-fs-watch-stop-sync.html",1,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/TouchableHighlight.html",1,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-handle-wrap-close-abort.html",1,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/webpack.config.iframe.html",1,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-http-malformed-request.html",1,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-dgram-udp4.html",1,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-cluster-worker-kill.html",1,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-buffer-compare-offset.html",1,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-cluster-master-error.html",1,0
